fid,tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
"5305","200832","304626",09/03/2015,"31","0",OnCurb,Alive,Poor,Platanus x acerifolia,London planetree,None,None,Damage,Volunteer,"TrunkOther,BranchOther",false,false,false,false,false,true,false,false,true,61-007 34 AVENUE,"11377",Woodside,"402","4",Queens,"26","34","16",QN63,Woodside,"4029300",New York,40.75217485,-73.90054715,1011804.78,213329.8962,"26","293","4538671","4011840045"
"5552","208279","300409",09/07/2015,"16","0",OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,Damage,Volunteer,Stones,true,false,false,false,false,false,false,false,false,32-015 54 STREET,"11377",Woodside,"401","4",Queens,"26","30","13",QN63,Woodside,"4029500",New York,40.75490449,-73.90692122,1010037.7,214322.4533,"26","295","4026026","4011560079"
"5610","195559","303551",09/01/2015,"15","0",OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,Damage,TreesCount Staff,Stones,true,false,false,false,false,false,false,false,false,41-038 55 STREET,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.7443372,-73.90976631,1009253.43,210471.6267,"26","251","4431345","4013230009"
"5821","208318","300399",09/07/2015,"16","0",OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,Volunteer,None,false,false,false,false,false,false,false,false,false,32-002 53 PLACE,"11377",Woodside,"401","4",Queens,"26","30","13",QN63,Woodside,"4029500",New York,40.75538966,-73.9080988,1009711.263,214498.8706,"26","295","4025893","4011540083"
"5945","200831","304626",09/03/2015,"12","0",OnCurb,Alive,Good,Ulmus parvifolia,Chinese elm,None,None,NoDamage,Volunteer,None,false,false,false,false,false,false,false,false,false,61-003 34 AVENUE,"11377",Woodside,"402","4",Queens,"26","34","16",QN63,Woodside,"4029300",New York,40.75216059,-73.90068229,1011767.345,213324.6574,"26","293","4538673","4011840047"
"5960","195453","303950",09/01/2015,"5","0",OnCurb,Alive,Fair,Zelkova serrata,Japanese zelkova,None,None,NoDamage,TreesCount Staff,None,false,false,false,false,false,false,false,false,false,54-025 SKILLMAN AVENUE,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.7452683,-73.90911363,1009433.93,210811.0414,"26","251","4552510","4012390001"
"5999","208317","300399",09/07/2015,"24","0",OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,Volunteer,None,false,false,false,false,false,false,false,false,false,32-002 53 PLACE,"11377",Woodside,"401","4",Queens,"26","30","13",QN63,Woodside,"4029500",New York,40.75540118,-73.90798867,1009741.771,214503.1012,"26","295","4025893","4011540083"
"6000","208319","300399",09/07/2015,"20","0",OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,Volunteer,None,false,false,false,false,false,false,false,false,false,32-002 53 PLACE,"11377",Woodside,"401","4",Queens,"26","30","13",QN63,Woodside,"4029500",New York,40.7553808,-73.90818852,1009686.412,214495.617,"26","295","4025893","4011540083"
"6153","208275","300409",09/07/2015,"16","0",OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,3or4,None,NoDamage,Volunteer,None,false,false,false,false,false,false,false,false,false,32-047 54 STREET,"11377",Woodside,"401","4",Queens,"26","30","13",QN63,Woodside,"4029500",New York,40.75413173,-73.90678129,1010076.769,214040.9516,"26","295","4026010","4011560063"
"6154","208276","300409",09/07/2015,"18","0",OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,1or2,None,Damage,Volunteer,Stones,true,false,false,false,false,false,false,false,false,32-045 54 STREET,"11377",Woodside,"401","4",Queens,"26","30","13",QN63,Woodside,"4029500",New York,40.75419454,-73.90679266,1010073.593,214063.8321,"26","295","4026011","4011560064"
"6201","208315","300399",09/07/2015,"18","0",OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,Volunteer,None,false,false,false,false,false,false,false,false,false,53-001 32 AVENUE,"11377",Woodside,"401","4",Queens,"26","30","13",QN63,Woodside,"4029500",New York,40.75543766,-73.90764003,1009838.347,214516.4936,"26","295","4025172","4011310001"
"6223","200826","304580",09/03/2015,"5","0",OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,Volunteer,None,false,false,false,false,false,false,false,false,false,34-010 60 STREET,"11377",Woodside,"402","4",Queens,"26","34","12",QN63,Woodside,"4025900",New York,40.75142624,-73.90213153,1011366.111,213056.6599,"26","259","4027127","4011870001"
"6248","208281","300409",09/07/2015,"3","0",OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,NoDamage,Volunteer,None,false,false,false,false,false,false,false,false,false,32-011 54 STREET,"11377",Woodside,"401","4",Queens,"26","30","13",QN63,Woodside,"4029500",New York,40.75505404,-73.9069483,1010030.14,214376.9309,"26","295","4026028","4011560082"
"6633","195450","303950",09/01/2015,"4","0",OnCurb,Alive,Poor,Zelkova serrata,Japanese zelkova,None,None,NoDamage,TreesCount Staff,None,false,false,false,false,false,false,false,false,false,54-022 SKILLMAN AVENUE,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74533941,-73.90937609,1009361.18,210836.874,"26","251","4030847","4013170085"
"6667","195549","303527",09/01/2015,"14","0",OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,Stones,true,false,false,false,false,false,false,false,false,43-028 55 STREET,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74280859,-73.90995851,1009200.744,209914.6478,"26","251","4030957","4013230040"
"6819","195317","303870",09/01/2015,"9","0",OnCurb,Alive,Good,Fraxinus pennsylvanica,green ash,None,None,Damage,TreesCount Staff,None,false,false,false,false,false,false,false,false,false,53-006 SKILLMAN AVENUE,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74567284,-73.91096283,1008921.383,210957.9013,"26","251","4030819","4013160054"
"6849","195560","303551",09/01/2015,"16","0",OnCurb,Alive,Good,Ginkgo biloba,ginkgo,None,None,Damage,TreesCount Staff,Stones,true,false,false,false,false,false,false,false,false,41-048 55 STREET,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74406577,-73.90982228,1009238.021,210372.7201,"26","251","4030941","4013230015"
"6967","195556","303551",09/01/2015,"13","0",OnCurb,Alive,Fair,Ginkgo biloba,ginkgo,None,None,Damage,TreesCount Staff,Stones,true,false,false,false,false,false,false,false,false,41-020 55 STREET,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74467127,-73.90969741,1009272.394,210593.3584,"26","251","4030938","4013230001"
"6988","222122","300777",09/14/2015,"18","0",OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,NoDamage,Volunteer,None,false,false,false,false,false,false,false,false,false,56-019 30 AVENUE,"11377",Woodside,"401","4",Queens,"22","36","12",QN63,Woodside,"4029700",New York,40.75974356,-73.90543518,1010447.508,216085.9235,"22","297","4022582","4010230030"
"7030","195555","303551",09/01/2015,"10","0",OnCurb,Alive,Fair,Ginkgo biloba,ginkgo,None,None,NoDamage,TreesCount Staff,Stones,true,false,false,false,false,false,false,false,false,41-020 55 STREET,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74476645,-73.90967778,1009277.797,210628.0401,"26","251","4030938","4013230001"
"7393","195517","303529",09/01/2015,"16","0",OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,Stones,true,false,false,false,false,false,false,false,false,43-008 56 STREET,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.7431844,-73.90907492,1009445.445,210051.8217,"26","251","4031041","4013250084"
"8083","195520","303529",09/01/2015,"7","0",OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,None,None,NoDamage,TreesCount Staff,Stones,true,false,false,false,false,false,false,false,false,55-001 QUEENS BOULEVARD,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74232799,-73.90924843,1009397.69,209739.7541,"26","251","4030990","4013250001"
"8301","195518","303529",09/01/2015,"23","0",OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,Damage,TreesCount Staff,"Stones,BranchLights",true,false,false,false,false,false,true,false,false,43-022 56 STREET,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74281872,-73.90914901,1009425.054,209918.5727,"26","251","4031047","4013250090"
"8369","208283","300409",09/07/2015,"12","0",OnCurb,Alive,Good,Ulmus americana,American elm,None,None,NoDamage,Volunteer,None,false,false,false,false,false,false,false,false,false,54-002 32 AVENUE,"11377",Woodside,"401","4",Queens,"26","30","13",QN63,Woodside,"4029500",New York,40.7551968,-73.90697415,1010022.923,214428.9331,"26","295","4025972","4011560001"
"8656","195516","303529",09/01/2015,"20","0",OnCurb,Alive,Fair,Fraxinus pennsylvanica,green ash,None,None,NoDamage,TreesCount Staff,None,false,false,false,false,false,false,false,false,false,43-006 56 STREET,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74329291,-73.90905294,1009451.496,210091.361,"26","251","4031040","4013250083"
"9012","200833","304626",09/03/2015,"8","0",OnCurb,Alive,Good,Tilia cordata,littleleaf linden,None,None,NoDamage,Volunteer,None,false,false,false,false,false,false,false,false,false,33-056 62 STREET,"11377",Woodside,"402","4",Queens,"26","34","16",QN63,Woodside,"4029300",New York,40.75220337,-73.90027688,1011879.65,213340.3739,"26","293","4437086","4011840033"
"9080","217266","304532",09/12/2015,"12","0",OnCurb,Alive,Fair,Tilia cordata,littleleaf linden,None,None,Damage,Volunteer,"Stones,WiresRope",true,false,false,true,false,false,false,false,false,34-035 62 STREET,"11377",Woodside,"402","4",Queens,"26","34","16",QN63,Woodside,"4029300",New York,40.7510954,-73.89968532,1012044.012,212936.8904,"26","293","4027211","4011900067"
"9139","195557","303551",09/01/2015,"13","0",OnCurb,Alive,Good,Ginkgo biloba,ginkgo,None,None,Damage,TreesCount Staff,Stones,true,false,false,false,false,false,false,false,false,41-028 55 STREET,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74457637,-73.90971698,1009267.006,210558.7755,"26","251","4431346","4013230006"
"9169","217207","304643",09/11/2015,"17","0",OffsetFromCurb,Alive,Fair,Quercus rubra,northern red oak,None,None,Damage,Volunteer,None,false,false,false,false,false,false,false,false,false,34-054 65 STREET,"11377",Woodside,"402","4",Queens,"26","34","16",QN63,Woodside,"4029300",New York,40.75083237,-73.8977114,1012591.035,212841.6931,"26","293","4027228","4011910027"
"9294","217271","304517",09/12/2015,"5","0",OnCurb,Alive,Good,Quercus rubra,northern red oak,None,None,NoDamage,Volunteer,None,false,false,false,false,false,false,false,false,false,61-001 BROADWAY,"11377",Woodside,"402","4",Queens,"26","34","16",QN63,Woodside,"4029300",New York,40.75077409,-73.90081302,1011731.696,212819.473,"26","293","4027140","4011890045"
"9459","211708","303562",09/09/2015,"3","0",OnCurb,Alive,Good,Ginkgo biloba,ginkgo,None,None,NoDamage,Volunteer,None,false,false,false,false,false,false,false,false,false,53-001 QUEENS BOULEVARD,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74259365,-73.9117636,1008700.627,209835.8307,"26","251","4440550","4013220001"
"9567","200834","304626",09/03/2015,"22","0",OnCurb,Alive,Fair,Liquidambar styraciflua,sweetgum,None,None,NoDamage,Volunteer,None,false,false,false,false,false,false,false,false,false,33-056 62 STREET,"11377",Woodside,"402","4",Queens,"26","34","16",QN63,Woodside,"4029300",New York,40.75221847,-73.90013388,1011919.264,213345.9175,"26","293","4437086","4011840033"
"9592","211707","303562",09/09/2015,"3","0",OnCurb,Alive,Good,Ginkgo biloba,ginkgo,None,None,NoDamage,Volunteer,None,false,false,false,false,false,false,false,false,false,53-001 QUEENS BOULEVARD,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74258232,-73.91166584,1008727.719,209831.731,"26","251","4440550","4013220001"
"9660","217210","304643",09/11/2015,"17","0",OffsetFromCurb,Alive,Fair,Quercus rubra,northern red oak,None,None,NoDamage,Volunteer,RootOther,false,false,true,false,false,false,false,false,false,64-019 35 AVENUE,"11377",Woodside,"402","4",Queens,"26","34","16",QN63,Woodside,"4029300",New York,40.75060325,-73.89767005,1012602.59,212758.2294,"26","293","4027229","4011910028"
"10613","217265","304532",09/12/2015,"4","0",OnCurb,Alive,Fair,Zelkova serrata,Japanese zelkova,None,None,NoDamage,Volunteer,Stones,true,false,false,false,false,false,false,false,false,34-021 62 STREET,"11377",Woodside,"402","4",Queens,"26","34","16",QN63,Woodside,"4029300",New York,40.75140585,-73.89974222,1012028.118,213049.9811,"26","293","4027216","4011900072"
"10840","211685","303499",09/09/2015,"30","0",OnCurb,Alive,Good,Platanus x acerifolia,London planetree,1or2,Helpful,NoDamage,Volunteer,"Stones,WiresRope",true,false,false,true,false,false,false,false,false,43-019 57 STREET,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74285861,-73.90806463,1009725.523,209933.4171,"26","251","4031175","4013300012"
"11062","195364","304017",09/01/2015,"16","0",OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,Damage,TreesCount Staff,Stones,true,false,false,false,false,false,false,false,false,41-006 54 STREET,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74551365,-73.91032428,1009098.379,210900.0858,"26","251","4030821","4013160058"
"11502","195514","303529",09/01/2015,"13","0",OnCurb,Alive,Fair,Tilia cordata,littleleaf linden,1or2,Helpful,Damage,TreesCount Staff,None,false,false,false,false,false,false,false,false,false,41-058 56 STREET,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74349826,-73.90901134,1009462.946,210166.19,"26","251","4031037","4013250077"
"11653","211686","303499",09/09/2015,"11","0",OnCurb,Alive,Good,Platanus x acerifolia,London planetree,1or2,None,Damage,Volunteer,Stones,true,false,false,false,false,false,false,false,false,43-031 57 STREET,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74252564,-73.90813106,1009707.243,209812.0863,"26","251","4031170","4013300006"
"13009","195552","303527",09/01/2015,"30","0",OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,Damage,TreesCount Staff,Stones,true,false,false,false,false,false,false,false,false,43-001 55 STREET,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74348809,-73.90982054,1009238.72,210162.2526,"26","251","4030998","4013250020"
"13517","195509","303529",09/01/2015,"18","0",OnCurb,Alive,Fair,Acer platanoides,Norway maple,None,None,NoDamage,TreesCount Staff,Stones,true,false,false,false,false,false,false,false,false,41-016 56 STREET,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74462513,-73.90878303,1009525.782,210576.8099,"26","251","4031022","4013250056"
"13518","195510","303529",09/01/2015,"18","0",OnCurb,Alive,Fair,Acer platanoides,Norway maple,None,None,NoDamage,TreesCount Staff,RootOther,false,false,true,false,false,false,false,false,false,41-020 56 STREET,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74449872,-73.90880864,1009518.733,210530.7463,"26","251","4031023","4013250057"
"13665","195297","303869",09/01/2015,"13","0",OnCurb,Alive,Fair,Acer platanoides,Norway maple,None,None,NoDamage,TreesCount Staff,TrunkOther,false,false,false,false,false,true,false,false,false,41-023 53 STREET,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74503905,-73.91133049,1008819.74,210726.8877,"26","251","4030811","4013160042"
"15174","200814","304533",09/03/2015,"2","0",OnCurb,Alive,Fair,Styphnolobium japonicum,Sophora,None,None,NoDamage,Volunteer,None,false,false,false,false,false,false,false,false,false,62-016 34 AVENUE,"11377",Woodside,"402","4",Queens,"26","34","16",QN63,Woodside,"4029300",New York,40.7521339,-73.89930315,1012149.465,213315.3726,"26","293","4027181","4011900007"
"15237","217208","304643",09/11/2015,"17","0",OnCurb,Alive,Poor,Platanus x acerifolia,London planetree,None,None,Damage,Volunteer,TrunkOther,false,false,false,false,false,true,false,false,false,34-054 65 STREET,"11377",Woodside,"402","4",Queens,"26","34","16",QN63,Woodside,"4029300",New York,40.75073146,-73.89772763,1012586.581,212804.9229,"26","293","4027228","4011910027"
"15371","195372","304014",09/01/2015,"7","0",OnCurb,Alive,Fair,Fraxinus pennsylvanica,green ash,None,None,Damage,TreesCount Staff,None,false,false,false,false,false,false,false,false,false,54-006 SKILLMAN AVENUE,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74555409,-73.9101931,1009134.711,210914.8558,"26","251","4030846","4013170081"
"15587","195553","303527",09/01/2015,"29","0",OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,Damage,TreesCount Staff,"Stones,BranchLights",true,false,false,false,false,false,true,false,false,43-001 55 STREET,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74351657,-73.90981476,1009240.312,210172.6312,"26","251","4030998","4013250020"
"16479","195363","304017",09/01/2015,"13","0",OnCurb,Alive,Poor,Quercus palustris,pin oak,None,None,Damage,TreesCount Staff,"Stones,RootOther,TrunkOther",true,false,true,false,false,true,false,false,false,41-015 54 STREET,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74513987,-73.91040025,1009077.465,210763.8817,"26","251","4030842","4013170075"
"16752","217259","304548",09/12/2015,"24","0",OnCurb,Alive,Fair,Acer campestre,hedge maple,None,None,NoDamage,Volunteer,Stones,true,false,false,false,false,false,false,false,false,34-051 64 STREET,"11377",Woodside,"402","4",Queens,"26","34","16",QN63,Woodside,"4029300",New York,40.75074521,-73.89867643,1012323.692,212809.6263,"26","293","4027239","4011910038"
"16910","218974","303606",09/12/2015,"9","0",OnCurb,Alive,Fair,Zelkova serrata,Japanese zelkova,None,None,NoDamage,Volunteer,BranchLights,false,false,false,false,false,false,true,false,false,41-019 60 STREET,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4024900",New York,40.74350129,-73.90424847,1010782.735,210168.6988,"26","249","4031407","4013350010"
"16915","217258","304548",09/12/2015,"14","0",OnCurb,Alive,Good,Quercus rubra,northern red oak,1or2,None,Damage,Volunteer,Stones,true,false,false,false,false,false,false,false,false,34-035 64 STREET,"11377",Woodside,"402","4",Queens,"26","34","16",QN63,Woodside,"4029300",New York,40.7511607,-73.89875148,1012302.724,212960.981,"26","293","4027247","4011910046"
"17094","218988","303506",09/12/2015,"8","0",OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,1or2,None,NoDamage,Volunteer,None,false,false,false,false,false,false,false,false,false,43-002 60 STREET,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4024900",New York,40.74270527,-73.90436307,1010751.295,209878.6485,"26","249","4031392","4013330082"
"17788","218965","303606",09/12/2015,"3","0",OnCurb,Alive,Good,Tilia americana,American linden,1or2,Helpful,Damage,Volunteer,None,false,false,false,false,false,false,false,false,false,40-003 60 STREET,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4024900",New York,40.74487888,-73.90440663,1010738.36,210670.5521,"26","249","4031423","4013350031"
"17801","218970","303606",09/12/2015,"17","0",OnCurb,Alive,Good,Ginkgo biloba,ginkgo,1or2,None,Damage,Volunteer,"Stones,WiresRope",true,false,false,true,false,false,false,false,false,41-003 60 STREET,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4024900",New York,40.74387324,-73.90431851,1010763.178,210304.192,"26","249","4031411","4013350017"
"18845","228515","304242",09/16/2015,"10","0",OnCurb,Alive,Fair,Acer rubrum,red maple,None,None,Damage,Volunteer,None,false,false,false,false,false,false,false,false,false,37-025 64 STREET,"11377",Woodside,"402","4",Queens,"26","34","12",QN63,Woodside,"4026100",New York,40.74801914,-73.89905158,1012220.893,211816.3123,"26","261","4431288","4012190032"
"18972","217268","304517",09/12/2015,"18","0",OnCurb,Alive,Fair,Robinia pseudoacacia,black locust,None,None,NoDamage,Volunteer,"Stones,TrunkOther",true,false,false,false,false,true,false,false,false,61-025 BROADWAY,"11377",Woodside,"402","4",Queens,"26","34","16",QN63,Woodside,"4029300",New York,40.75050942,-73.9001897,1011904.509,212723.2416,"26","293","4027169","4011890092"
"19324","228301","304252",09/15/2015,"2","0",OnCurb,Alive,Good,Ulmus americana,American elm,None,None,NoDamage,Volunteer,None,false,false,false,false,false,false,false,false,false,37-006 69 STREET,"11377",Woodside,"402","4",Queens,"26","34","16",QN63,Woodside,"4026300",New York,40.74833916,-73.89698917,1012792.211,211933.5709,"26","263","4028054","4012210015"
"19356","228295","304245",09/15/2015,"31","0",OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,None,None,Damage,Volunteer,"Stones,WiresRope",true,false,false,true,false,false,false,false,false,37-028 68 STREET,"11377",Woodside,"402","4",Queens,"26","34","12",QN63,Woodside,"4026300",New York,40.74774708,-73.89757604,1012629.854,211717.6682,"26","263","4028042","4012200030"
"19357","228502","304243",09/16/2015,"9","0",OnCurb,Alive,Good,Ulmus americana,American elm,1or2,Helpful,NoDamage,Volunteer,"Stones,WiresRope",true,false,false,true,false,false,false,false,false,64-011 39 AVENUE,"11377",Woodside,"402","4",Queens,"26","34","12",QN63,Woodside,"4026100",New York,40.74638118,-73.89936724,1012134.115,211219.4516,"26","261","4027992","4012190003"
"19436","208286","300410",09/07/2015,"19","0",OnCurb,Alive,Good,Acer platanoides,Norway maple,None,None,NoDamage,Volunteer,BranchOther,false,false,false,false,false,false,false,false,true,54-010 32 AVENUE,"11377",Woodside,"401","4",Queens,"26","30","13",QN63,Woodside,"4029500",New York,40.75540991,-73.9066172,1010121.733,214506.6819,"26","295","4025976","4011560005"
"19538","228302","304252",09/15/2015,"3","0",OnCurb,Alive,Good,Ulmus americana,American elm,None,None,NoDamage,Volunteer,None,false,false,false,false,false,false,false,false,false,37-006 69 STREET,"11377",Woodside,"402","4",Queens,"26","34","16",QN63,Woodside,"4026300",New York,40.74834609,-73.89691684,1012812.249,211936.1201,"26","263","4028054","4012210015"
"19574","228485","304186",09/16/2015,"12","0",OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,None,None,NoDamage,Volunteer,WiresRope,false,false,false,true,false,false,false,false,false,65-033 38 AVENUE,"11377",Woodside,"402","4",Queens,"26","34","12",QN63,Woodside,"4026300",New York,40.74700101,-73.89733172,1012697.869,211445.9285,"26","263","4596250","4012227502"
"19582","208297","300542",09/07/2015,"9","0",OnCurb,Alive,Fair,Acer platanoides,Norway maple,None,None,NoDamage,Volunteer,None,false,false,false,false,false,false,false,false,false,54-011 32 AVENUE,"11377",Woodside,"401","4",Queens,"26","30","13",QN63,Woodside,"4029500",New York,40.75554461,-73.90663877,1010115.707,214555.7524,"26","295","4025201","4011320030"
